codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3090693847;01/08/2025;195,98;27/09/2025;C6_BANK
3091496341;01/08/2025;835,06;27/09/2025;C6_BANK
3090579397;01/08/2025;376,38;27/09/2025;C6_BANK
3092636445;01/08/2025;917,31;27/09/2025;C6_BANK
4003993154;01/08/2025;1.730,55;30/09/2025;C6_BANK
3095256173;01/08/2025;2.996,30;30/09/2025;C6_BANK
3090579398;01/08/2025;1.332,39;06/10/2025;C6_BANK
3090582291;01/09/2025;393,67;08/10/2025;C6_BANK
4003698872;01/09/2025;1.486,74;10/10/2025;C6_BANK
3091036353;01/08/2025;1.394,26;10/10/2025;C6_BANK
3090582274;01/09/2025;749,22;10/10/2025;C6_BANK
3090656337;01/09/2025;12.703,89;15/10/2025;C6_BANK
4003513902;01/09/2025;3.322,18;15/10/2025;C6_BANK
4003514072;01/09/2025;5.061,24;15/10/2025;C6_BANK
3095196256;01/09/2025;1.187,02;16/10/2025;C6_BANK
3082099467;01/08/2025;833,67;16/10/2025;C6_BANK
3082099467;01/09/2025;739,04;16/10/2025;C6_BANK
3095589850;01/08/2025;215,81;16/10/2025;C6_BANK
3095589850;01/09/2025;247,33;16/10/2025;C6_BANK
3092636445;01/09/2025;549,3;16/10/2025;C6_BANK
3090768932;01/09/2025;372,93;17/10/2025;C6_BANK
3092707047;01/09/2025;229,81;29/10/2025;C6_BANK
4002293699;01/09/2025;580,41;29/10/2025;C6_BANK
3090656985;01/09/2025;235,45;29/10/2025;C6_BANK
3090783930;01/08/2025;557,16;29/10/2025;C6_BANK
3090783930;01/09/2025;883;29/10/2025;C6_BANK
4003327541;01/09/2025;271,26;29/10/2025;C6_BANK
4003327541;01/10/2025;329,61;29/10/2025;C6_BANK
4003327542;01/09/2025;70,92;29/10/2025;C6_BANK
4003327542;01/10/2025;73,59;29/10/2025;C6_BANK
4003327543;01/09/2025;188,33;29/10/2025;C6_BANK
4003327543;01/10/2025;215,45;29/10/2025;C6_BANK
3091496341;01/09/2025;781,62;29/10/2025;C6_BANK
3091496341;01/10/2025;842,9;29/10/2025;C6_BANK
3090657453;01/09/2025;408,19;29/10/2025;C6_BANK
3090657453;01/10/2025;433,31;29/10/2025;C6_BANK
3095209861;01/09/2025;393,45;29/10/2025;C6_BANK
3095209861;01/10/2025;399,91;29/10/2025;C6_BANK
3095256173;01/09/2025;1.493,69;29/10/2025;C6_BANK
4003548077;01/09/2025;362,69;04/11/2025;C6_BANK
4003548077;01/10/2025;340,07;04/11/2025;C6_BANK
3095400731;01/09/2025;552,44;04/11/2025;C6_BANK
3090656152;01/09/2025;403,26;04/11/2025;C6_BANK
3091159533;01/09/2025;242,6;04/11/2025;C6_BANK
3095625622;01/09/2025;280,33;04/11/2025;C6_BANK
4002435906;01/09/2025;244,01;04/11/2025;C6_BANK
3082099467;01/10/2025;328,45;04/11/2025;C6_BANK
3090585494;01/09/2025;886,72;04/11/2025;C6_BANK
3090585494;01/10/2025;1.212,29;04/11/2025;C6_BANK
3095625622;01/10/2025;491,25;04/11/2025;C6_BANK
3095194198;01/10/2025;379,38;04/11/2025;C6_BANK
3095677733;01/10/2025;1.502,16;04/11/2025;C6_BANK
3095400731;01/10/2025;646,48;04/11/2025;C6_BANK
3091159533;01/10/2025;384,77;04/11/2025;C6_BANK
3095256173;01/10/2025;2.487,28;04/11/2025;C6_BANK
3090693847;01/09/2025;197,14;04/11/2025;C6_BANK
3090693847;01/10/2025;115,48;04/11/2025;C6_BANK
3090657265;01/09/2025;236,57;04/11/2025;C6_BANK
3090657265;01/10/2025;192,03;04/11/2025;C6_BANK
3091314655;01/09/2025;3.138,02;04/11/2025;C6_BANK
3091314655;01/10/2025;3.809,48;04/11/2025;C6_BANK
3095046800;01/09/2025;560,26;04/11/2025;C6_BANK
3095046800;01/10/2025;1.754,20;04/11/2025;C6_BANK
4004082808;01/09/2025;625,57;04/11/2025;C6_BANK
4004082808;01/10/2025;724,88;04/11/2025;C6_BANK
3090813408;01/10/2025;1.912,66;04/11/2025;C6_BANK
3092362633;01/10/2025;1.481,31;04/11/2025;C6_BANK
3090657009;01/10/2025;1.130,11;04/11/2025;C6_BANK
3090656985;01/10/2025;245,39;04/11/2025;C6_BANK
3095229213;01/10/2025;225,13;04/11/2025;C6_BANK
3090582291;01/10/2025;475,11;04/11/2025;C6_BANK
3095309146;01/10/2025;2.932,08;04/11/2025;C6_BANK
4002435906;01/10/2025;154,03;04/11/2025;C6_BANK
3093257025;01/09/2025;144,88;04/11/2025;C6_BANK
3093257025;01/10/2025;445,62;04/11/2025;C6_BANK
3092707047;01/10/2025;266,92;04/11/2025;C6_BANK
3095118657;01/09/2025;532,3;04/11/2025;C6_BANK
3095118657;01/10/2025;1.095,15;04/11/2025;C6_BANK
3085723679;01/09/2025;158,22;04/11/2025;C6_BANK
3085723679;01/10/2025;174,1;04/11/2025;C6_BANK
3090623032;01/09/2025;256,93;04/11/2025;C6_BANK
3090623032;01/10/2025;289,75;04/11/2025;C6_BANK
4003513902;01/10/2025;1.013,36;04/11/2025;C6_BANK
4003514072;01/10/2025;1.538,72;05/11/2025;C6_BANK
3095209053;01/09/2025;400,69;05/11/2025;C6_BANK
3095209053;01/10/2025;785,7;05/11/2025;C6_BANK
3095147868;01/09/2025;245,66;05/11/2025;C6_BANK
3095147868;01/10/2025;347,56;05/11/2025;C6_BANK
3090656152;01/10/2025;1.150,49;05/11/2025;C6_BANK
3090783930;01/10/2025;1.555,25;05/11/2025;C6_BANK
3093262301;01/09/2025;155,58;05/11/2025;C6_BANK
3093262301;01/10/2025;306,58;05/11/2025;C6_BANK
3095196256;01/10/2025;1.239,76;05/11/2025;C6_BANK
3092227405;01/09/2025;568,37;05/11/2025;C6_BANK
3092227405;01/10/2025;587,5;05/11/2025;C6_BANK
3090701357;01/10/2025;204,26;05/11/2025;C6_BANK
3091036353;01/09/2025;445,7;05/11/2025;C6_BANK
4003698872;01/10/2025;2.226,74;05/11/2025;C6_BANK
4003250772;01/09/2025;891,12;05/11/2025;C6_BANK
4003250772;01/10/2025;726,15;10/11/2025;C6_BANK
3095400749;01/10/2025;3.164,64;10/11/2025;C6_BANK
3090702159;01/10/2025;6.636,03;12/11/2025;C6_BANK
4002293699;01/10/2025;711,35;12/11/2025;C6_BANK
3090691461;01/10/2025;344,12;12/11/2025;C6_BANK
3092636445;01/10/2025;423,51;13/11/2025;C6_BANK
3090579397;01/09/2025;351,54;17/11/2025;C6_BANK
3090579397;01/10/2025;269,21;17/11/2025;C6_BANK
